지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
133,대전,2026-01-01 17:00,-2.9,,,,3.3,,320,,24,,1.2,-20.7,1017,,1025.7,,.6,,.35,,,,0,0,,,5000,,,-1.3,,-.7,.3,2.1,2.9
133,대전,2026-01-01 18:00,-4,,,,2.1,,320,,29,,1.3,-19.4,1017.1,,1025.9,,0,,.02,,,,0,0,,,5000,,,-2.5,,-.8,.1,2,2.9
133,대전,2026-01-01 19:00,-4.7,,,,2.3,,320,,35,,1.5,-17.8,1017.3,,1026.1,,,9,,9,,,3,0,,,5000,,,-3.5,,-1.1,0,2,2.8
133,대전,2026-01-01 20:00,-5.1,,,,2.5,,320,,43,,1.8,-15.7,1016.9,,1025.7,,,9,,9,,,7,1,,26,4989,,,-3.7,,-1.2,-.1,2,2.8
133,대전,2026-01-01 21:00,-5.5,,,,1.9,,320,,50,,2,-14.3,1016.6,,1025.4,,,9,,9,,,0,0,,,4968,,,-4.1,,-1.2,-.1,2,2.8
133,대전,2026-01-01 22:00,-5.7,,,,2.3,,320,,53,,2.1,-13.7,1016.5,,1025.3,,,9,,9,,,0,0,,,4968,,,-4.3,,-1.3,-.1,2,2.8
133,대전,2026-01-01 23:00,-5.8,,,,2.2,,320,,57,,2.3,-12.9,1016.4,,1025.2,,,9,,9,,,0,0,,,4954,,,-4.5,,-1.4,-.2,1.9,2.7
133,대전,2026-01-02 00:00,-6.7,,,,1.7,,340,,60,,2.2,-13.1,1016.4,,1025.2,,,9,,9,,,1,1,,,4660,,,-4.8,,-1.5,-.3,2,2.8
133,대전,2026-01-02 01:00,-7.4,,,,2.8,,360,,59,,2.1,-14,1016.3,,1025.2,,,9,,9,,,0,0,,,4699,,,-5.1,,-1.6,-.3,1.9,2.7
133,대전,2026-01-02 02:00,-8.5,,,,2,,20,,52,,1.7,-16.6,1016.9,,1025.8,,,9,,9,,,0,0,,,4269,,,-5.3,,-1.6,-.3,1.9,2.7
133,대전,2026-01-02 03:00,-9.6,,,,.7,,360,,53,,1.6,-17.4,1017,,1026,,,9,,9,,,0,0,,,4345,,,-5.8,,-1.8,-.5,1.8,2.7
133,대전,2026-01-02 04:00,-9.7,,,,1,,20,,53,,1.6,-17.5,1017,,1026,,,9,,9,,,1,1,Sc,10,4435,,,-6.1,,-1.9,-.6,1.8,2.6
133,대전,2026-01-02 05:00,-9.9,,,,.8,,340,,57,,1.6,-16.8,1016.8,,1025.8,,,9,,9,,,2,2,Sc,10,4120,,,-6.2,,-2,-.6,1.7,2.6
133,대전,2026-01-02 06:00,-10.2,,,,1.3,,340,,62,,1.7,-16.1,1017,,1026,,,9,,9,,,2,2,Sc,10,4073,,,-6.2,,-2,-.6,1.7,2.5
133,대전,2026-01-02 07:00,-10.8,,,,.5,,360,,59,,1.6,-17.2,1017.3,,1026.3,,,9,,9,,,1,1,Sc,10,4554,,,-6.6,,-2.2,-.7,1.7,2.6
133,대전,2026-01-02 08:00,-10.4,,,,.9,,50,,56,,1.6,-17.5,1017.9,,1026.9,,.1,,.01,,,,0,0,,,3980,,,-6.7,,-2.3,-.8,1.7,2.5
133,대전,2026-01-02 09:00,-8.5,,,,2.1,,20,,47,,1.5,-17.8,1018.5,,1027.4,,1,,.34,,,,0,0,,,4047,,,-5.5,,-1.9,-.3,1.7,2.6
133,대전,2026-01-02 10:00,-7.3,,,,1.5,,20,,46,,1.6,-16.9,1019,,1027.9,,1,,.95,,,,0,0,,,4160,,,-3.9,,-1.3,0,1.7,2.6
133,대전,2026-01-02 11:00,-5.9,,,,2.6,,20,,42,,1.7,-16.7,1019,,1027.8,,1,,1.48,,,,0,0,,,4360,,,-1.8,,-1,.1,1.7,2.6
133,대전,2026-01-02 12:00,-4.3,,,,1.3,,200,,37,,1.6,-16.8,1017.9,,1026.7,,1,,1.83,,,,0,0,,,4513,,,-.7,,-.7,.3,1.7,2.6
133,대전,2026-01-02 13:00,-2.6,,,,1.2,,180,,35,,1.8,-15.9,1016.9,,1025.6,,1,,1.97,,,,0,0,,,4711,,,.1,,-.6,.3,1.7,2.6
133,대전,2026-01-02 14:00,-1.7,,,,1.7,,290,,32,,1.7,-16.2,1016.1,,1024.8,,1,,1.86,,,,0,0,,,4937,,,.1,,-.6,.3,1.7,2.6
133,대전,2026-01-02 15:00,-1.1,,,,2,,320,,33,,1.9,-15.3,1015.8,,1024.5,,1,,1.53,,,,0,0,,,4759,,,-.2,,-.6,.2,1.7,2.6
133,대전,2026-01-02 16:00,-1,,,,2.1,,250,,38,,2.2,-13.5,1015.7,,1024.4,,1,,1.04,,,,3,3,Sc,15,4490,,,-.7,,-.7,.1,1.7,2.6
133,대전,2026-01-02 17:00,-2.6,,,,3.1,,320,,46,,2.3,-12.6,1015.9,,1024.6,,.6,,.37,,,,3,3,Sc,13,4349,,,-1.1,,-1,-.2,1.6,2.5
133,대전,2026-01-02 18:00,-3.4,,,,3.2,,320,,48,,2.3,-12.8,1016.7,,1025.4,,0,,.02,,,,2,2,Sc,13,4627,,,-1.9,,-1.1,-.4,1.6,2.4
133,대전,2026-01-02 19:00,-4.4,,,,3.5,,320,,55,,2.4,-12.1,1017.4,,1026.2,,,9,,9,,,5,1,,10,4069,,,-2.9,,-1.4,-.5,1.5,2.4
133,대전,2026-01-02 20:00,-4.9,,,9,2.5,,320,,60,,2.6,-11.4,1017.6,,1026.4,,,9,,9,,,2,2,Sc,8,3682,,05,-3.9,,-1.4,-.5,1.5,2.4
133,대전,2026-01-02 21:00,-5.2,,0,,2.6,,320,,64,,2.7,-10.9,1017.9,,1026.7,,,9,,9,,,3,3,Sc,8,3483,,05,-4.1,,-1.5,-.5,1.5,2.4
133,대전,2026-01-02 22:00,-6.2,,,9,1,,340,,69,,2.7,-10.9,1018.2,,1027,,,9,,9,,,3,3,Sc,10,3409,,05,-4.7,,-1.6,-.6,1.5,2.3
133,대전,2026-01-02 23:00,-6.7,,,9,1.3,,50,,78,,2.9,-9.9,1018.8,,1027.7,,,9,,9,,,0,0,,,2102,,,-5,,-1.7,-.7,1.5,2.3
133,대전,2026-01-03 00:00,-7.6,,0,,.9,,360,,81,,2.8,-10.3,1019.2,,1028.1,,,9,,9,,,0,0,,,2074,,,-5.4,,-1.9,-.7,1.4,2.3
133,대전,2026-01-03 01:00,-8.4,,,,.6,,340,,84,,2.7,-10.6,1019.1,,1028,,,9,,9,,,0,0,,,2041,,,-5.8,,-2,-.8,1.4,2.3
133,대전,2026-01-03 02:00,-8.4,,,,1.3,,340,,77,,2.5,-11.7,1019.5,,1028.4,,,9,,9,,,0,0,,,2636,,,-6.1,,-2.2,-.8,1.4,2.2
133,대전,2026-01-03 03:00,-9.1,,,,1.1,,320,,78,,2.4,-12.2,1019.9,,1028.9,,,9,,9,,,0,0,,,2559,,,-6.3,,-2.3,-.9,1.4,2.2
133,대전,2026-01-03 04:00,-9.2,,,,.5,,20,,78,,2.4,-12.3,1019.4,,1028.4,,,9,,9,,,0,0,,,2494,,,-6.5,,-2.4,-.9,1.4,2.2
133,대전,2026-01-03 05:00,-9.7,,,,1.9,,340,,80,,2.3,-12.5,1019.7,,1028.7,,,9,,9,,,0,0,,,2348,,,-6.6,,-2.5,-1,1.4,2.2
133,대전,2026-01-03 06:00,-9.8,,,,.4,,0,,80,,2.3,-12.6,1019.8,,1028.8,,,9,,9,,,0,0,,,2420,,,-6.7,,-2.7,-1,1.3,2.2
133,대전,2026-01-03 07:00,-10.2,,,,2,,340,,82,,2.3,-12.6,1019.9,,1028.9,,,9,,9,,,0,0,,,2232,,,-6.8,,-2.7,-1,1.3,2.2
133,대전,2026-01-03 08:00,-10,,,,1,,340,,81,,2.3,-12.6,1020.5,,1029.5,,.1,,.01,,,,0,0,,,2369,,,-6.8,,-2.9,-1.1,1.3,2.1
133,대전,2026-01-03 09:00,-7.8,,,,.4,,0,,73,,2.5,-11.8,1020.9,,1029.8,,1,,.34,,,,0,0,,,2598,,,-5.4,,-2.4,-.7,1.3,2.2
133,대전,2026-01-03 10:00,-4.4,,,,.4,,0,,65,,2.9,-10,1021.2,,1030,,1,,.94,,,,0,0,,,2768,,,-3.4,,-1.7,-.3,1.4,2.3
133,대전,2026-01-03 11:00,-1.8,,,,1.2,,180,,56,,3,-9.4,1021.3,,1030,,1,,1.41,,,,0,0,,,3259,,,-1.2,,-1.2,-.1,1.4,2.3
133,대전,2026-01-03 12:00,.4,,,,1.6,,140,,53,,3.3,-8,1020.2,,1028.8,,1,,1.77,,,,0,0,,,3901,,,-.3,,-.9,0,1.4,2.3
133,대전,2026-01-03 13:00,1.8,,,,1,,270,,44,,3.1,-9.1,1019.3,,1027.9,,1,,1.86,,,,3,3,Sc,17,4061,,,.8,,-.8,.1,1.4,2.3
133,대전,2026-01-03 14:00,1.9,,,,1.8,,140,,43,,3,-9.3,1018.6,,1027.2,,.3,,1.24,,,,7,7,Sc,18,3947,,,.2,,-.9,-.1,1.4,2.3
133,대전,2026-01-03 15:00,2,,,,1.7,,180,,43,,3,-9.2,1018.4,,1027,,.3,,.91,,,,9,9,Sc,12,3622,,,.1,,-.9,-.1,1.4,2.2
133,대전,2026-01-03 16:00,1.7,,,,.5,,180,,45,,3.1,-8.9,1018.3,,1026.9,,0,,.39,,,,9,9,Sc,11,3602,,,-.6,,-1,-.3,1.4,2.2
133,대전,2026-01-03 17:00,1.4,,,,1.3,,230,,55,,3.7,-6.6,1018.4,,1027,,0,,.12,,,,9,9,Sc,9,2919,,,-.9,,-1,-.3,1.3,2.2
133,대전,2026-01-03 18:00,.9,,,,1.2,,200,,58,,3.8,-6.4,1018.4,,1027,,0,,.01,,,,9,9,Sc,11,2906,,,-.9,,-1,-.4,1.3,2.2
133,대전,2026-01-03 19:00,.6,,,,1.4,,230,,62,,4,-5.8,1018.3,,1026.9,,,9,,9,,,9,9,,13,2675,,,-1,,-1,-.4,1.4,2.2
133,대전,2026-01-03 20:00,.4,,,,.3,,0,,64,,4,-5.6,1018.1,,1026.7,,,9,,9,,,9,7,,7,2530,,,-1,,-1.1,-.5,1.3,2.2
133,대전,2026-01-03 21:00,.4,,,,.2,,0,,67,,4.2,-5,1018,,1026.6,,,9,,9,,,9,9,Sc,14,2387,,,-1,,-1,-.4,1.3,2.1
133,대전,2026-01-03 22:00,.2,,,,.2,,0,,67,,4.2,-5.2,1018,,1026.6,,,9,,9,,,9,9,,13,2328,,,-1,,-1,-.4,1.3,2.1
133,대전,2026-01-03 23:00,.1,,,,.4,,0,,69,,4.2,-4.9,1017.8,,1026.4,,,9,,9,,,9,9,,13,2303,,,-1,,-1,-.4,1.3,2.2
133,대전,2026-01-04 00:00,0,,,,.6,,360,,68,,4.2,-5.2,1017.8,,1026.4,,,9,,9,,,9,9,,,2315,,,-1,,-1,-.4,1.3,2.2
133,대전,2026-01-04 01:00,.1,,,,.6,,20,,69,,4.2,-4.9,1017.5,,1026.1,,,9,,9,,,9,9,,12,2156,,,-1,,-1,-.4,1.3,2.1
133,대전,2026-01-04 02:00,.2,,,,.9,,360,,70,,4.3,-4.6,1017.4,,1026,,,9,,9,,,9,9,,11,2139,,,-1.1,,-1,-.4,1.3,2.2
133,대전,2026-01-04 03:00,.1,,,,.9,,20,,71,,4.4,-4.5,1017.6,,1026.2,,,9,,9,,,9,9,Sc,12,2060,,,-1.1,,-1,-.4,1.3,2.2
133,대전,2026-01-04 04:00,.2,,,,.9,,140,,73,,4.5,-4,1016.9,,1025.5,,,9,,9,,,9,9,Sc,13,1904,,,-1.1,,-1,-.4,1.3,2.2
133,대전,2026-01-04 05:00,.6,,,,.2,,0,,72,,4.6,-3.8,1016.5,,1025.1,,,9,,9,,,9,9,Sc,13,1692,,,-1.1,,-1,-.4,1.3,2.1
133,대전,2026-01-04 06:00,.9,,,,.9,,230,,71,,4.6,-3.7,1016.4,,1025,,,9,,9,,,9,9,Sc,12,1585,,,-1.1,,-.9,-.4,1.3,2.1
133,대전,2026-01-04 07:00,.5,,,,.4,,0,,72,,4.6,-3.9,1017,,1025.6,,,9,,9,,,9,9,Sc,11,1633,,,-1.1,,-.9,-.3,1.3,2.1
133,대전,2026-01-04 08:00,.1,,,,1.1,,20,,72,,4.4,-4.3,1017.1,,1025.7,,0,,0,,,,7,7,Sc,13,1323,,,-1.4,,-1,-.4,1.3,2.1
133,대전,2026-01-04 09:00,.1,,,,.3,,0,,73,,4.5,-4.1,1017.6,,1026.2,,0,,.18,,,,5,5,Sc,11,1279,,,-1.4,,-1,-.4,1.3,2.1
133,대전,2026-01-04 10:00,2.8,,,,.2,,0,,63,,4.7,-3.5,1017.8,,1026.3,,.8,,.68,,,,5,5,Sc,8,1289,,,-.8,,-.6,0,1.4,2.2
133,대전,2026-01-04 11:00,4.7,,,,1.8,,320,,59,,5,-2.6,1017.7,,1026.2,,.8,,1.08,,,,8,5,ScCi,9,1053,,,-.3,,-.4,.2,1.4,2.2
133,대전,2026-01-04 12:00,6,,,,3.9,,320,,55,,5.2,-2.3,1017.2,,1025.6,,.6,,1.28,,,,8,5,ScCi,10,1068,,,2.2,,-.2,.2,1.4,2.2
133,대전,2026-01-04 13:00,6.5,,,,3,,320,,52,,5,-2.6,1016.1,,1024.5,,.9,,1.74,,,,8,6,ScCi,10,1141,,,2.6,,-.1,.4,1.4,2.2
133,대전,2026-01-04 14:00,5.9,,,,4.1,,340,,52,,4.8,-3.2,1015.4,,1023.8,,1,,1.38,,,,8,4,ScCi,11,1302,,,2.2,,-.2,.3,1.4,2.2
133,대전,2026-01-04 15:00,6.5,,,,3.2,,320,,49,,4.8,-3.4,1014.9,,1023.3,,.9,,1.33,,,,6,3,ScCi,13,1504,,,1.4,,-.2,.3,1.4,2.2
133,대전,2026-01-04 16:00,6.8,,,,2.4,,320,,43,,4.2,-4.9,1014.4,,1022.8,,1,,.92,,,,6,0,Ci,,2152,,,.5,,-.3,.2,1.4,2.2
133,대전,2026-01-04 17:00,5.2,,,,2.1,,320,,41,,3.6,-7,1014.1,,1022.5,,.1,,.23,,,,9,0,Ci,,3359,,,-.8,,-.6,0,1.4,2.2
133,대전,2026-01-04 18:00,3.7,,,,2.3,,340,,50,,4,-5.7,1014.3,,1022.8,,0,,.02,,,,9,0,Ci,,2601,,,-.9,,-.8,-.1,1.4,2.2
133,대전,2026-01-04 19:00,2.8,,,,1.6,,340,,55,,4.1,-5.3,1014.5,,1023,,,9,,9,,,9,6,,54,2578,,,-1,,-.9,-.2,1.4,2.2
133,대전,2026-01-04 20:00,2,,,,2.1,,320,,62,,4.4,-4.5,1014.6,,1023.1,,,9,,9,,,9,9,,45,2147,,,-1,,-.9,-.2,1.4,2.2
133,대전,2026-01-04 21:00,1.9,,,,1.2,,340,,62,,4.3,-4.6,1014.3,,1022.8,,,9,,9,,,9,7,AcCi,40,2251,,,-1,,-.8,-.2,1.4,2.2
133,대전,2026-01-04 22:00,1.1,,,,1.6,,340,,68,,4.5,-4.1,1014.4,,1023,,,9,,9,,,8,7,,43,2144,,,-1.1,,-.9,-.3,1.4,2.2
133,대전,2026-01-04 23:00,.7,,,,1.9,,340,,70,,4.5,-4.1,1014.4,,1023,,,9,,9,,,10,9,,43,1958,,,-1.1,,-.9,-.3,1.3,2.1
133,대전,2026-01-05 00:00,.7,,,,1.5,,340,,69,,4.4,-4.3,1014.2,,1022.8,,,9,,9,,,9,9,,,1940,,,-1.1,,-.9,-.3,1.4,2.2
133,대전,2026-01-05 01:00,.4,,,,.8,,340,,71,,4.5,-4.2,1014.2,,1022.8,,,9,,9,,,10,6,,35,1957,,,-1.1,,-.9,-.2,1.4,2.2
133,대전,2026-01-05 02:00,.2,,,,.1,,0,,74,,4.6,-3.8,1014.1,,1022.7,,,9,,9,,,7,7,,38,1886,,,-1.3,,-.9,-.3,1.4,2.2
133,대전,2026-01-05 03:00,-.4,,,,1.7,,340,,76,,4.5,-4.1,1013.8,,1022.4,,,9,,9,,,3,3,Ac,40,1782,,,-1.4,,-1,-.3,1.4,2.1
133,대전,2026-01-05 04:00,-.2,,,,1.8,,320,,72,,4.3,-4.6,1013.3,,1021.9,,,9,,9,,,0,0,,,2161,,,-1.4,,-1,-.3,1.4,2.1
133,대전,2026-01-05 05:00,-1,,,,1.7,,340,,72,,4.1,-5.4,1013.3,,1021.9,,,9,,9,,,0,0,,,2604,,,-1.7,,-1,-.3,1.3,2.1
133,대전,2026-01-05 06:00,-1.5,,,,1.1,,340,,75,,4.1,-5.3,1013.3,,1021.9,,,9,,9,,,0,0,,,2465,,,-1.9,,-1.1,-.3,1.3,2.1
133,대전,2026-01-05 07:00,-2.2,,,,1.1,,90,,84,,4.4,-4.5,1013.8,,1022.5,,,9,,9,,,0,0,,,1419,,,-2.2,,-1.2,-.4,1.3,2.1
133,대전,2026-01-05 08:00,-2.7,,,,.1,,0,,82,,4.1,-5.3,1014.1,,1022.8,,0,,0,,,,5,0,Ci,,1714,,,-2.5,,-1.3,-.4,1.3,2.1
133,대전,2026-01-05 09:00,-.7,,,,.3,,0,,78,,4.5,-4,1014.5,,1023.1,,.7,,.3,,,,0,0,,,1278,,,-1.8,,-.9,-.1,1.4,2.1
133,대전,2026-01-05 10:00,1.4,,,,.3,,0,,59,,4,-5.7,1015,,1023.6,,1,,.88,,,,1,0,Ci,,2065,,,-.9,,-.2,.3,1.5,2.2
133,대전,2026-01-05 11:00,2.4,,,,3.2,,320,,45,,3.3,-8.3,1014.9,,1023.4,,1,,1.44,,,,3,2,ScCi,15,2824,,,-.5,,0,.5,1.4,2.2
133,대전,2026-01-05 12:00,3.6,,,,2.3,,320,,43,,3.4,-7.8,1013.8,,1022.3,,1,,1.83,,,,3,0,Ci,,2867,,,0,,.2,.6,1.5,2.2
133,대전,2026-01-05 13:00,4.7,,,,2.3,,320,,35,,3,-9.4,1013.1,,1021.5,,1,,1.89,,,,3,0,Ci,,3329,,,.6,,.1,.6,1.5,2.3
133,대전,2026-01-05 14:00,4.9,,,,4.1,,320,,21,,1.8,-15.6,1012.6,,1021,,1,,1.87,,,,2,0,Ci,,4936,,,.9,,0,.7,1.5,2.3
133,대전,2026-01-05 15:00,5,,,,3.9,,320,,18,,1.6,-17.4,1012.8,,1021.2,,1,,1.58,,,,0,0,,,4998,,,1,,.2,.8,1.5,2.2
133,대전,2026-01-05 16:00,3.8,,,,3.8,,320,,19,,1.5,-17.7,1013.5,,1022,,1,,1.12,,,,0,0,,,5000,,,-.5,,.1,.8,1.5,2.3
133,대전,2026-01-05 17:00,1.1,,,,3.8,,320,,26,,1.7,-16.3,1014.1,,1022.7,,.7,,.42,,,,0,0,,,5000,,,-.9,,-.4,.4,1.5,2.2
133,대전,2026-01-05 18:00,-.9,,,,3.5,,320,,31,,1.8,-15.9,1015.1,,1023.7,,0,,.02,,,,0,0,,,4948,,,-1.3,,-.6,.1,1.5,2.2
133,대전,2026-01-05 19:00,-2,,,,2.4,,320,,39,,2.1,-14.1,1015.9,,1024.6,,,9,,9,,,0,0,,,4848,,,-1.5,,-.8,0,1.5,2.3
133,대전,2026-01-05 20:00,-2.9,,,,1.3,,320,,42,,2.1,-14,1016.5,,1025.2,,,9,,9,,,0,0,,,4543,,,-1.8,,-.9,-.1,1.5,2.2
133,대전,2026-01-05 21:00,-2,,,,1.5,,290,,40,,2.1,-13.8,1016.6,,1025.3,,,9,,9,,,0,0,,,4573,,,-2.2,,-.9,-.2,1.5,2.3
133,대전,2026-01-05 22:00,-3.2,,,,1.2,,270,,46,,2.2,-13.2,1016.9,,1025.6,,,9,,9,,,0,0,,,4381,,,-2.4,,-.9,-.2,1.5,2.3
133,대전,2026-01-05 23:00,-3.9,,,,1.2,,320,,52,,2.4,-12.3,1017.1,,1025.9,,,9,,9,,,0,0,,,4002,,,-2.8,,-.9,-.2,1.5,2.3
133,대전,2026-01-06 00:00,-4.4,,,,.2,,0,,56,,2.5,-11.8,1017.2,,1026,,,9,,9,,,0,0,,,4111,,,-2.9,,-.9,-.2,1.5,2.2
133,대전,2026-01-06 01:00,-4.6,,,,.8,,360,,58,,2.5,-11.6,1017.3,,1026.1,,,9,,9,,,0,0,,,4108,,,-3.2,,-1,-.3,1.5,2.3
133,대전,2026-01-06 02:00,-5.1,,,,.4,,0,,60,,2.5,-11.6,1017.4,,1026.2,,,9,,9,,,0,0,,,3962,,,-3.4,,-1.1,-.3,1.5,2.2
133,대전,2026-01-06 03:00,-5.2,,,,1.1,,340,,62,,2.6,-11.3,1017.8,,1026.6,,,9,,9,,,0,0,,,4004,,,-3.7,,-1.1,-.4,1.5,2.2
133,대전,2026-01-06 04:00,-6.1,,,,1.1,,320,,66,,2.6,-11.4,1017.9,,1026.7,,,9,,9,,,0,0,,,3603,,,-4,,-1.2,-.4,1.4,2.2
133,대전,2026-01-06 05:00,-6.4,,,,.3,,0,,69,,2.6,-11.1,1017.5,,1026.3,,,9,,9,,,0,0,,,3444,,,-4.2,,-1.3,-.5,1.4,2.2
133,대전,2026-01-06 06:00,-6.9,,,,1.1,,320,,71,,2.6,-11.2,1017.5,,1026.4,,,9,,9,,,0,0,,,3248,,,-4.4,,-1.4,-.5,1.4,2.2
133,대전,2026-01-06 07:00,-7.3,,,,1.4,,320,,73,,2.6,-11.3,1017.7,,1026.6,,,9,,9,,,0,0,,,2803,,,-4.6,,-1.5,-.5,1.4,2.1
133,대전,2026-01-06 08:00,-7.5,,,,.5,,290,,74,,2.6,-11.3,1017.7,,1026.6,,.1,,.01,,,,0,0,,,2626,,,-4.7,,-1.5,-.6,1.4,2.1
133,대전,2026-01-06 09:00,-4.9,,,,.9,,320,,66,,2.8,-10.2,1017.7,,1026.5,,1,,.34,,,,0,0,,,2798,,,-3.6,,-1.1,-.1,1.5,2.2
133,대전,2026-01-06 10:00,-2.1,,,,.9,,160,,53,,2.8,-10.4,1017.7,,1026.4,,1,,.97,,,,0,0,,,3203,,,-1.9,,-.5,.4,1.5,2.3
133,대전,2026-01-06 11:00,.1,,,,1.4,,180,,44,,2.7,-10.7,1017.3,,1025.9,,1,,1.5,,,,1,0,Ci,,3381,,,-.6,,0,.5,1.6,2.3
133,대전,2026-01-06 12:00,2.1,,,,1.2,,20,,35,,2.5,-11.8,1016.3,,1024.9,,1,,1.88,,,,4,0,Ci,,4295,,,0,,.2,.6,1.6,2.3
133,대전,2026-01-06 13:00,3.1,,,,1.7,,340,,27,,2.1,-14.1,1015.3,,1023.8,,1,,2,,,,5,0,Ci,,4703,,,.7,,.2,.7,1.6,2.3
133,대전,2026-01-06 14:00,4.1,,,,1.5,,140,,28,,2.3,-12.8,1014.7,,1023.2,,1,,1.84,,,,7,0,Ci,,4861,,,.8,,0,.7,1.6,2.3
133,대전,2026-01-06 15:00,5.1,,,,1.7,,110,,21,,1.8,-15.4,1014.2,,1022.6,,1,,1.59,,,,6,0,Ci,,5000,,,1.2,,.2,.7,1.6,2.3
133,대전,2026-01-06 16:00,4.9,,,,2.4,,160,,24,,2.1,-14,1014,,1022.4,,1,,1.06,,,,5,0,Ci,,5000,,,-.5,,0,.5,1.6,2.3
133,대전,2026-01-06 17:00,3.2,,,,1,,140,,28,,2.1,-13.6,1013.7,,1022.2,,.4,,.31,,,,7,0,Ci,,4705,,,-.8,,-.5,.2,1.6,2.3
133,대전,2026-01-06 18:00,2,,,,.7,,200,,31,,2.2,-13.3,1013.2,,1021.7,,0,,.03,,,,5,0,Ci,,4736,,,-1,,-.7,0,1.5,2.3
